流式输出内容被截断，只能显示最后 5000 行内容。
Image  5191: psnr: 12.20082 / bpp_real: 2.15625, saving in out/...
Image  5192: psnr: 17.28169 / bpp_real: 2.48438, saving in out/...
Image  5193: psnr: 19.93039 / bpp_real: 2.98438, saving in out/...
Image  5194: psnr: 16.20988 / bpp_real: 2.37500, saving in out/...
Image  5195: psnr: 14.43222 / bpp_real: 2.32812, saving in out/...
Image  5196: psnr: 15.03259 / bpp_real: 2.23438, saving in out/...
Image  5197: psnr: 17.13463 / bpp_real: 2.23438, saving in out/...
Image  5198: psnr: 13.44976 / bpp_real: 2.31250, saving in out/...
Image  5199: psnr: 13.69987 / bpp_real: 2.17188, saving in out/...
Image  5200: psnr: 12.70066 / bpp_real: 2.14062, saving in out/...
Image  5201: psnr: 21.92242 / bpp_real: 2.90625, saving in out/...
Image  5202: psnr: 13.51619 / bpp_real: 2.03125, saving in out/...
Image  5203: psnr: 13.39217 / bpp_real: 2.10938, saving in out/...
Image  5204: psnr: 17.94406 / bpp_real: 2.76562, saving in out/...
Image  5205: psnr: 16.27025 / bpp_real: 2.35938, saving in out/...
Image  5206: psnr: 13.94283 / bpp_real: 2.18750, saving in out/...
Image  5207: psnr: 14.40774 / bpp_real: 2.51562, saving in out/...
Image  5208: psnr: 16.88163 / bpp_real: 2.81250, saving in out/...
Image  5209: psnr: 18.02766 / bpp_real: 2.37500, saving in out/...
Image  5210: psnr: 14.92669 / bpp_real: 2.25000, saving in out/...
Image  5211: psnr: 9.74260 / bpp_real: 2.21875, saving in out/...
Image  5212: psnr: 18.92726 / bpp_real: 2.57812, saving in out/...
Image  5213: psnr: 17.05153 / bpp_real: 2.15625, saving in out/...
Image  5214: psnr: 17.45852 / bpp_real: 2.39062, saving in out/...
Image  5215: psnr: 14.99905 / bpp_real: 2.31250, saving in out/...
Image  5216: psnr: 16.02359 / bpp_real: 2.46875, saving in out/...
Image  5217: psnr: 10.71340 / bpp_real: 2.12500, saving in out/...
Image  5218: psnr: 16.11706 / bpp_real: 2.23438, saving in out/...
Image  5219: psnr: 16.50080 / bpp_real: 2.61719, saving in out/...
Image  5220: psnr: 16.15689 / bpp_real: 2.12500, saving in out/...
Image  5221: psnr: 14.95381 / bpp_real: 2.39062, saving in out/...
Image  5222: psnr: 13.81067 / bpp_real: 2.07812, saving in out/...
Image  5223: psnr: 14.73364 / bpp_real: 2.42188, saving in out/...
Image  5224: psnr: 15.28450 / bpp_real: 2.66406, saving in out/...
Image  5225: psnr: 15.36332 / bpp_real: 2.32812, saving in out/...
Image  5226: psnr: 17.78949 / bpp_real: 2.04688, saving in out/...
Image  5227: psnr: 11.99645 / bpp_real: 2.01562, saving in out/...
Image  5228: psnr: 13.12095 / bpp_real: 2.20312, saving in out/...
Image  5229: psnr: 17.11532 / bpp_real: 2.34375, saving in out/...
Image  5230: psnr: 15.89196 / bpp_real: 2.32812, saving in out/...
Image  5231: psnr: 14.00333 / bpp_real: 2.26562, saving in out/...
Image  5232: psnr: 15.26374 / bpp_real: 2.10938, saving in out/...
Image  5233: psnr: 17.64506 / bpp_real: 2.73438, saving in out/...
Image  5234: psnr: 21.39744 / bpp_real: 3.03125, saving in out/...
Image  5235: psnr: 14.91631 / bpp_real: 2.20312, saving in out/...
Image  5236: psnr: 12.63900 / bpp_real: 2.29688, saving in out/...
Image  5237: psnr: 16.24795 / bpp_real: 2.14062, saving in out/...
Image  5238: psnr: 14.43622 / bpp_real: 2.10938, saving in out/...
Image  5239: psnr: 12.88544 / bpp_real: 2.01562, saving in out/...
Image  5240: psnr: 17.33293 / bpp_real: 2.29688, saving in out/...
Image  5241: psnr: 12.54159 / bpp_real: 2.15625, saving in out/...
Image  5242: psnr: 15.40857 / bpp_real: 2.21875, saving in out/...
Image  5243: psnr: 17.03928 / bpp_real: 2.14062, saving in out/...
Image  5244: psnr: 11.47189 / bpp_real: 2.26562, saving in out/...
Image  5245: psnr: 11.98757 / bpp_real: 2.10938, saving in out/...
Image  5246: psnr: 14.51244 / bpp_real: 2.10938, saving in out/...
Image  5247: psnr: 14.89332 / bpp_real: 2.09375, saving in out/...
Image  5248: psnr: 17.57395 / bpp_real: 2.12500, saving in out/...
Image  5249: psnr: 12.51786 / bpp_real: 2.09375, saving in out/...
Image  5250: psnr: 17.64676 / bpp_real: 2.53125, saving in out/...
Image  5251: psnr: 17.22272 / bpp_real: 2.60156, saving in out/...
Image  5252: psnr: 14.63198 / bpp_real: 2.10938, saving in out/...
Image  5253: psnr: 15.00936 / bpp_real: 2.17188, saving in out/...
Image  5254: psnr: 14.24481 / bpp_real: 2.29688, saving in out/...
Image  5255: psnr: 14.12587 / bpp_real: 2.29688, saving in out/...
Image  5256: psnr: 16.83448 / bpp_real: 2.60156, saving in out/...
